iter	Passed	Remaining
0	1	150
1	2	127
2	3	120
3	4	109
4	5	106
5	6	104
6	7	102
7	8	101
8	9	99
9	10	97
10	12	98
11	13	97
12	14	97
13	15	97
14	17	97
15	18	97
16	19	96
17	21	96
18	22	95
19	23	94
20	24	93
21	26	93
22	27	93
23	29	92
24	30	91
25	31	89
26	32	88
27	33	86
28	34	84
29	35	83
30	36	81
31	37	80
32	38	78
33	40	78
34	41	76
35	42	75
36	43	74
37	44	72
38	45	71
39	46	69
40	47	68
41	47	66
42	48	64
43	50	63
44	51	62
45	52	61
46	53	59
47	54	59
48	56	58
49	57	57
50	58	56
51	60	55
52	61	54
53	62	53
54	63	52
55	64	50
56	66	49
57	67	48
58	69	48
59	71	47
60	72	46
61	74	45
62	75	44
63	76	42
64	77	41
65	78	40
66	79	39
67	80	37
68	81	36
69	82	35
70	84	34
71	85	33
72	86	31
73	87	30
74	88	29
75	89	28
76	90	27
77	91	25
78	92	24
79	93	23
80	94	22
81	95	21
82	96	19
83	98	18
84	99	17
85	100	16
86	102	15
87	103	14
88	104	12
89	105	11
90	106	10
91	107	9
92	108	8
93	109	6
94	110	5
95	112	4
96	113	3
97	114	2
98	115	1
99	116	0
